genome_id	genome_id_safe	assembly_name	genome_id_status	organism_type	haplotype	assembly_version	is_public	embargo_until	prov_bioproject_parent	prov_bioproject	prov_biosample	prov_insdc_note	prov_genome_doi	prov_publication_doi	prov_data_usage_policy	prov_annotation_pipeline	prov_annotation_pipeline_version	prov_ref_db	prov_ref_db_version	prov_annotation_transferred_from	spec_specimen_id	spec_collector	spec_collection_date	spec_site_name	spec_lat	spec_lon	spec_symbiont_status	tax_ncbi_taxid	tax_class	tax_order	tax_family	tax_genus	tax_species	tax_ott_id
GCA_024195265.1	GCA_024195265_1	GRF_DCR_1.0	accession	coral_host	NA	v2	TRUE	NA	PRJEB40665	PRJNA782406	NA	ENA primary	10.5281/zenodo.20721096	NA	CC-BY-4.0	RepeatModeler;BRAKER3;Egg-NOG mapper;InterProScan	v2	R1: VARUS + db [Cnidaria + Scleractinia]; R2: VARUS + db [Scleractinia v2]	v2	NA	NA	NA	NA	South Korea: Dockdo Island	NA	NA	NA	1140371	Anthozoa	Scleractinia	Dendrophylliidae	Dendrophyllia	Dendrophyllia cribrosa	3677084
GCA_029204205.1	GCA_029204205_1	Loph_1.0	accession	coral_host	NA	v2	TRUE	NA	PRJEB40665	PRJNA903949	NA	ENA primary	10.5281/zenodo.20721096	NA	CC-BY-4.0	RepeatModeler;BRAKER3;Egg-NOG mapper;InterProScan	v2	R1: VARUS + db [Cnidaria + Scleractinia]; R2: VARUS + db [Scleractinia v2]	v2	NA	NA	NA	4/17/2019	Atlantic Ocean	31.7542	-79.19442	NA	174260	Anthozoa	Scleractinia	Caryophylliidae	Desmophyllum	Desmophyllum pertusum	973784
GCA_964030605.3	GCA_964030605_3	jaAcrPala1.3	accession	coral_host	hap1	v2	TRUE	NA	PRJEB40665	PRJEB75079	NA	ENA primary	10.5281/zenodo.20721096	NA	CC-BY-4.0	RepeatModeler;BRAKER3;Egg-NOG mapper;InterProScan	v2	R1: VARUS + db [Cnidaria + Scleractinia]; R2: VARUS + db [Scleractinia v2]	v2	NA	NOT_PROVIDED	KRISTEN MARHAVER	9/7/2018	USA	NA	NA	NA	6131	Anthozoa	Scleractinia	Acroporidae	Acropora	Acropora palmata	507954
GCA_964034985.1	GCA_964034985_1	jaAcrCerv1.1	accession	coral_host	hap1	v2	TRUE	NA	PRJEB40665	PRJEB75259	NA	ENA primary	10.5281/zenodo.20721096	NA	CC-BY-4.0	RepeatModeler;BRAKER3;Egg-NOG mapper;InterProScan	v2	R1: VARUS + db [Cnidaria + Scleractinia]; R2: VARUS + db [Scleractinia v2]	v2	NA	NOT_PROVIDED	RICHARD KARP	3/29/2021	USA	NA	NA	NA	6130	Anthozoa	Scleractinia	Acroporidae	Acropora	Acropora cervicornis	507951
GCA_964261235.1	GCA_964261235_1	jaAcrSpic1.1	accession	coral_host	hap1	v2	TRUE	NA	PRJEB40665	PRJEB79627	NA	ENA primary	10.5281/zenodo.20721096	NA	CC-BY-4.0	RepeatModeler;BRAKER3;Egg-NOG mapper;InterProScan	v2	R1: VARUS + db [Cnidaria + Scleractinia]; R2: VARUS + db [Scleractinia v2]	v2	NA	NOT PROVIDED	Michael Sweet	10/18/2023	United Kingdom	NA	NA	NA	191023	Anthozoa	Scleractinia	Acroporidae	Acropora	Acropora spicifera	657499
GCA_037127295.1	GCA_037127295_1	Ahemp.RedSea.gaplosed_f2.ukon	accession	coral_host	NA	v2	TRUE	NA	PRJEB40665	PRJNA1027610	NA	ENA primary	10.5281/zenodo.20721096	NA	CC-BY-4.0	RepeatModeler;BRAKER3;Egg-NOG mapper;InterProScan	v2	R1: VARUS + db [Cnidaria + Scleractinia]; R2: VARUS + db [Scleractinia v2]	v2	NA	NA	NA	3/2/2019	Saudi Arabia: Red Sea	22.304667	39.049111	NA	213635	Anthozoa	Scleractinia	Acroporidae	Acropora	Acropora hemprichii	292859
GCA_040938025.2	GCA_040938025_2	PAG_UKon_Phar_v2	accession	coral_host	NA	v2	TRUE	NA	PRJEB40665	PRJNA1111311	NA	ENA primary	10.5281/zenodo.20721096	NA	CC-BY-4.0	RepeatModeler;BRAKER3;Egg-NOG mapper;InterProScan	v2	R1: db [Scleractinia v2]	v2	NA	NA	NA	5/30/2022	United Arab Emirates: Persian Arabian Gulf, Saada Reef	24.08525	52.24333	NA	627007	Anthozoa	Scleractinia	Poritidae	Porites	Porites harrisoni	3675489
GCA_042242905.1	GCA_042242905_1	um_ofav_v1	accession	coral_host	NA	v2	TRUE	NA	PRJEB40665	PRJNA970355	NA	ENA primary	10.5281/zenodo.20721096	NA	CC-BY-4.0	RepeatModeler;BRAKER3;Egg-NOG mapper;InterProScan	v2	R1: VARUS + db [Cnidaria + Scleractinia]; R2: VARUS + db [Scleractinia v2]	v2	NA	NA	Olivia Williamson	2022-08	USA: Florida Keys reef system	NA	NA	NA	48498	Anthozoa	Scleractinia	Merulinidae	Orbicella	Orbicella faveolata	955287
GCA_042850425.1	GCA_042850425_1	Fanc_1.0	accession	coral_host	NA	v2	TRUE	NA	PRJEB40665	PRJDB14104	NA	ENA primary	10.5281/zenodo.20721096	NA	CC-BY-4.0	RepeatModeler;BRAKER3;Egg-NOG mapper;InterProScan	v2	R1: VARUS + db [Cnidaria + Scleractinia]; R2: VARUS + db [Scleractinia v2]	v2	NA	Fimbriaphyllia ancora Colony-1 mesenterial filament	Yuna Zayasu	8/7/2018	Japan:Okinawa, Onna	NA	NA	NA	46750	Anthozoa	Scleractinia	Caryophylliidae	Fimbriaphyllia	Fimbriaphyllia ancora	313607
GCA_043250805.1	GCA_043250805_1	PSU_CNat_1.0.0	accession	coral_host	NA	v2	TRUE	NA	PRJEB40665	PRJNA982825	NA	ENA primary	10.5281/zenodo.20721096	NA	CC-BY-4.0	RepeatModeler;BRAKER3;Egg-NOG mapper;InterProScan	v2	R1: VARUS + db [Cnidaria + Scleractinia]; R2: VARUS + db [Scleractinia v2]	v2	NA	NA	NA	8/6/2022	Curacao	12.083654	-68.894469	NA	242718	Anthozoa	Scleractinia	Faviidae	Colpophyllia	Colpophyllia natans	706974
